,reference_code,pmid,doi,comment,Language,Volume,Issue,Page,Journal,Abstract,Date,Authors
601,69VEE/RAI,5357024.0,10.1042/bj1150837,,['eng'],115,4,837-42,The Biochemical journal,"1. The equilibrium constant at 38 degrees and I 0.25 of the triose phosphate isomerase reaction was found to be 22.0 and that of the aldolase reaction, 0.99x10(-4)m. The [dihydroxyacetone phosphate]/[glyceraldehyde phosphate] ratio was found to be 9.3 in rat liver. The causes of the apparent deviation of the triose phosphate isomerase system from equilibrium in vivo have been investigated. 2. The equilibria of the triose phosphate isomerase and aldolase reactions were studied with relatively large concentrations of crystalline enzymes and small concentrations of substrates, approximating to those found in rat liver and muscle. There was significant binding of fructose diphosphate by aldolase under these conditions. There was no evidence that binding of glyceraldehyde phosphate by either enzyme affected the equilibria. 3. The deviation from equilibrium of the triose phosphate isomerase system in rat liver can be accounted for by the low activity of the enzyme, in relation to the flux, at low physiological concentrations of glyceraldehyde phosphate (about 3mum). It has been calculated that a flux of 1.8mumoles/min./g. wet weight of liver would be expected to cause the measured degree of disequilibrium found in vivo. 4. The conclusion that the triose phosphate isomerase is not at equilibrium is in accordance with the situation postulated by Rose, Kellermeyer, Stjernholm & Wood (1962) on the basis of isotope-distribution data. 5. The triose phosphate isomerase system is closer to equilibrium in resting muscle probably because of a very low flux and a high enzyme concentration. 6. The aldolase system deviated from equilibrium in rat liver by a factor of about 10 and by a much greater factor in resting muscle. 7. The measurement of total dihydroxyacetone phosphate and glyceraldehyde phosphate content indicates the concentrations of the free metabolites in the tissue. This may not hold for fructose diphosphate, a significant proportion of which may be bound to aldolase.",Dec 1969,"R L Veech, L Raijman, K Dalziel, H A Krebs"
602,69VIL/DAL,4391041.0,10.1042/bj1150633,,['eng'],115,4,633-8,The Biochemical journal,"1. It was shown that dissolved CO(2) and not HCO(3) (-) or H(2)CO(3) is the primary substrate for reductive carboxylation with 6-phosphogluconate dehydrogenase from sheep liver. 2. The equilibrium constant of the reaction was measured in solutions of various ionic strengths and at several temperatures, and the free energy and heat of reaction were determined.",Dec 1969,"R H Villet, K Dalziel"
603,69WAN/BAR,5769987.0,10.1016/S0021-9258(18)83432-9,,['eng'],244,10,2516-26,The Journal of biological chemistry,-,May 1969,"C C Wang, H A Barker"
604,69WHI/LEJ,4989322.0,10.1042/bj1130589,,['eng'],113,4,589-601,The Biochemical journal,"1. Diaminopimelate epimerase from a soluble extract of Bacillus megaterium N.C.I.B. 7581 was purified about 25-fold by fractionation with ammonium sulphate and chromatography on calcium phosphate gel-cellulose. The product was impure but was unstable on further purification. 2. Quantitative assay methods for the enzyme were devised in which meso- or ll-diaminopimelic acid may be the substrate. 3. Between 25 degrees and 45 degrees at pH7.0 enzyme action leads to an equilibrium mixture containing 65% meso-isomer and 35% ll-isomer. 4. The initial rate of epimerization was 2-3 times as fast with ll-diaminopimelic acid as substrate as with the meso-isomer; a number of other amino acids were not racemized by the enzyme. The Michaelis constants at 37 degrees were 6.7mm (ll-isomer) and 100mm (meso-isomer); with both substrates enzyme activity was maximal at pH7-8. The relative rates of epimerization of ll-diaminopimelic acid at 25 degrees , 37 degrees and 45 degrees were 0.77:1.00:1.15. 5. A thiol compound (of which 2,3-dimercaptopropan-1-ol was the most effective) was needed as an activator of the purified enzyme. 6. Carbonylbinding reagents and several other compounds did not inhibit diaminopimelate epimerase. 7. Pyridoxal phosphate did not stimulate enzymic activity even in preparations that had been almost completely freed of derivatives of vitamin B(6) (as shown by microbiological assay).",Jul 1969,"P J White, B Lejeune, E Work"
605,70ALB,5423264.0,10.1021/bi00814a011,,['eng'],9,12,2462-70,Biochemistry,-,Jun 1970,G J Albrecht
606,70BAL/DEN,,10.1016/0076-6879(71)17212-6,,-,-,-,-,-,-,-,-
607,70BEN/FRI,5442269.0,10.1016/S0021-9258(18)63142-4,,['eng'],245,9,2219-28,The Journal of biological chemistry,-,May 1970,"R L Benson, S Friedman"
608,70BLA,4245368.0,10.1111/j.1432-1033.1970.tb00940.x,,['eng'],13,2,384-90,European journal of biochemistry,-,Apr 1970,J M Blair
609,70BRO/KRE,4316090.0,10.1042/bj1170091,,['eng'],117,1,91-6,The Biochemical journal,"1. Changes in the concentrations of ammonia, glutamine, glutamate, 2-oxoglutarate, 3-hydroxybutyrate, acetoacetate, alanine, aspartate, malate, lactate, pyruvate, NAD(+), NADH and adenine nucleotides were measured in freeze-clamped rat liver during ischaemia. 2. Although the concentrations of most of the metabolites changed rapidly during ischaemia the ratios [glutamate]/[2-oxoglutarate][NH(4) (+)] and [3-hydroxybutyrate]/[acetoacetate] changed equally and the value of the expression [3-hydroxybutyrate][2-oxoglutarate][NH(4) (+)]/[acetoacetate][glutamate] remained approximately constant, indicating that the 3-hydroxybutyrate dehydrogenase and glutamate dehydrogenase systems were at near-equilibrium with the mitochondrial NAD(+) couple. 3. The value of the expression [alanine][oxoglutarate]/[pyruvate][glutamate] was about 0.7 in vivo and remained fairly constant during the ischaemic period of 5min, although the concentrations of alanine and oxoglutarate changed substantially. No explanation can be offered why the value of the ratio differed from that of the equilibrium constant of the alanine aminotransferase reaction, which is 1.48. 4. Injection of l-cycloserine 60min before the rats were killed increased the concentration of alanine in the liver fourfold and decreased the concentration of the other metabolites measured, except that of pyruvate. During ischaemia the concentration of alanine did not change but that of aspartate almost doubled. 5. After treatment with l-cycloserine the value in vivo of the expression [alanine][oxoglutarate]/[pyruvate][glutamate] rose from 0.7 to 2.4. During ischaemia the value returned to 0.8. 6. The effects of l-cycloserine are consistent with the assumption that it specifically inhibits alanine aminotransferase. 7. Most of the alanine formed during ischaemia is probably derived from pyruvate and from ammonia released by the deamination of adenine nucleotides and glutamine. The alanine is presumably formed by the combined action of glutamate dehydrogenase and alanine aminotransferase. 8. The rate of anaerobic glycolysis, calculated from the increase in the lactate concentration, was 1.3mumol/min per g fresh wt. 9. Although the concentrations of the adenine nucleotides changed rapidly during ischaemia, the ratio [ATP][AMP]/[ADP](2) remained constant at 0.54, indicating that adenylate kinase established near-equilibrium under these conditions.",Mar 1970,"J T Brosnan, H A Krebs, D H Williamson"
610,70CHI/ZAP,5438361.0,10.1016/S0021-9258(19)77160-9,,['eng'],245,7,1778-89,The Journal of biological chemistry,-,Apr 1970,"T P Chirpich, V Zappia, R N Costilow, H A Barker"
611,70DEN,,10.1016/0076-6879(71)17195-9,,-,-,-,-,-,-,-,-
612,70FAN/FEI,5483919.0,10.1104/pp.46.4.592,,['eng'],46,4,592-5,Plant physiology,"Uridine diphosphate (UDP)-arabinose 4-epimerase (EC 5.1.3.5) has been purified at least 20-fold from wheat germ by MnCl(2) treatment, (NH(4))(2)SO(4) fractionation, dialysis, and Sephadex and diethylaminoethyl cellulose column chromatography. The enzyme has no action on UDP-d-glucose, UDP-d-glucuronic acid, or TDP-d-glucose. The pH optimum is 8.0. Km values are 1.5 mM for UDP-d-xylose and 0.5 mm for UDP-l-arabinose. The equilibrium constant, K, for the reaction UDP-l-arabinose left arrow over right arrow UDP-d-xylose is 1.25. The enzyme is neither activated by nicotinamide adenine dinucleotide nor inhibited by reduced nicotinamide adenine dinucleotide. It is completely inhibited by p-chloromercuri-phenylsulfonate; the inhibition is reversed by cysteine.",Oct 1970,"D F Fan, D S Feingold"
613,70GEO/WIT,,10.1016/0005-2728(70)90126-X,,-,-,-,-,-,-,-,-
614,70HER,5470822.0,10.1016/S0021-9258(18)62958-8,,['eng'],245,14,3526-35,The Journal of biological chemistry,-,Jul 1970,L B Hersh
615,70HEY/ELB,5438047.0,10.1128/jb.101.3.777-780.1970,,['eng'],101,3,777-80,Journal of bacteriology,"An enzyme, d-mannose ketol isomerase, catalyzing the isomerization of d-mannose and d-fructose was purified approximately 60-fold from cells of Mycobacterium smegmatis grown on mannose as the sole carbon source. This enzyme was shown to catalyze the conversion of d-mannose and d-lyxose to ketoses. The ketose produced from mannose was identified as fructose by chemical and chromatographic methods. The reaction was shown to be reversible, the equilibrium ratio of fructose to mannose being approximately 65 to 35. The pH optimum was about 7.5, and the K(m) for mannose was estimated to be 7 x 10(-3)m. Mannose isomerase activity was greatest in cells grown on mannose, whereas cells grown on fructose had about 30% as much activity. Very low levels of activity were detected in cells grown on other substrates. There was an immediate increase in enzyme activity on transfer of cells from nutrient broth to a mannose mineral salts medium.",Mar 1970,"A Hey-Ferguson, A D Elbein"
616,70JEN/TAY,,10.1016/0076-6879(71)17285-0,,-,-,-,-,-,-,-,-
617,70KNO/HAN,5427280.0,10.1016/S0021-9258(18)63098-4,,['eng'],245,10,2499-504,The Journal of biological chemistry,-,May 1970,"J K Knop, R G Hansen"
618,70KOH/WAR,4395378.0,10.1016/S0021-9258(18)62926-6,,['eng'],245,15,3831-9,The Journal of biological chemistry,-,Aug 1970,"L D Kohn, W A Warren"
619,70KRI/BUC,5493986.0,10.1111/j.1432-1033.1970.tb01202.x,,['eng'],17,3,568-80,European journal of biochemistry,-,Dec 1970,"W K Krietsch, T Bücher"
620,70MAN/HOL,4910853.0,10.1073/pnas.65.3.660,,['eng'],65,3,660-7,Proceedings of the National Academy of Sciences of the United States of America,"The reversibility of adenylylation of glutamine synthetase from E. coli by adenylyltransferase was demonstrated. Several positive effectors (Gln, 2-hydroxyethyl-S-cysteine, Trp and Met) stimulate the back reaction in the same manner as the forward reaction. The apparent Michaelis constant for PP(i) is 2.2 mM at pH 7.35. The pH optimum of the back reaction is 6.5-7 while the pH optimum of the forward reaction is 7.6. The apparent equilibrium constant in the presence of 10 mM Mg(2+) at pH 7.36 is 8.5 in favor of adenylylated glutamine synthetase and PP(i). The equilibrium constant is strongly dependent from pH and from Mg(2+) concentration. There is a difference of about 0.5 to 1 kcal/mole free energy between the adenylyl-O-tyrosine bond and the pyrophosphate bond of adenosine triphosphate (ATP). It follows from these considerations that the adenylyl-O-tyrosine bond is an ""energy-rich phosphate bond.""",Mar 1970,"M Mantel, H Holzer"
621,70MAR/COH,,10.1016/0076-6879(71)17186-8,,-,-,-,-,-,-,-,-
622,70NAK/FUJ,,10.1016/0005-2744(70)90054-9,,-,-,-,-,-,-,-,-
623,70NAK/TSU,5498430.0,10.1016/S0021-9258(19)63814-7,,['eng'],245,17,4443-9,The Journal of biological chemistry,-,Sep 1970,"M Nakano, Y Tsutsumi, T S Danowski"
624,70TSA/HOL,,10.1016/0003-9861(70)90347-4,,-,-,-,-,-,-,-,-
625,70TSU/FRI,4394942.0,10.1016/S0021-9258(18)62643-2,,['eng'],245,22,5914-26,The Journal of biological chemistry,-,Nov 1970,"Y Tsuda, H C Friedmann"
626,70VEE/RAI,4315932.0,10.1042/bj1170499,,['eng'],117,3,499-503,The Biochemical journal,"1. The ratio [ATP]/[ADP][P(i)], as measured by direct determination of the three components in rat liver, was found in various nutritional states to have approximately the same value as the ratio [ATP]/[ADP][P(i)] calculated from the concentrations of lactate, pyruvate, glyceraldehyde phosphate and 3-phosphoglycerate on the assumption that lactate dehydrogenase, glyceraldehyde phosphate dehydrogenase and 3-phosphoglycerate kinase are at near-equilibrium in the liver. This implies that the redox state of the NAD couple in the cytoplasm is linked to, and partially controlled by, the phosphorylation state of the adenine nucleotides. 2. The combined equilibrium constant of the glyceraldehyde 3-phosphate dehydrogenase and 3-phosphoglycerate kinase reactions at 38 degrees C and I0.25, was found to be 5.9x10(-6). 3. The fall of the [NAD(+)]/[NADH] ratio in starvation and other situations is taken to be the consequence of a primary fall of the [ATP]/[ADP][HPO(4) (2-)] ratio.",Apr 1970,"R L Veech, L Raijman, H A Krebs"
627,70WUR/HES,4395302.0,10.1515/bchm2.1970.351.2.1537,,['eng'],351,12,1537-44,Hoppe-Seyler's Zeitschrift fur physiologische Chemie,-,Dec 1970,"B Wurster, B Hess"
628,70WUR/SCH,5451283.0,10.1515/bchm2.1970.351.2.961,,['ger'],351,8,961-6,Hoppe-Seyler's Zeitschrift fur physiologische Chemie,-,Aug 1970,"B Wurster, F Schneider"
629,71BRI/CAR,5168977.0,10.1021/bi00800a028,,['eng'],10,24,4522-33,Biochemistry,-,Nov 1971,"H G Britton, J Carreras, S Grisolia"
630,71BRI/CLA,,,,-,-,-,-,-,-,-,-
631,71CHE/ALI,5095956.0,,,['rus'],36,4,717-22,"Biokhimiia (Moscow, Russia)",-,  1971,"E P Chetverikova, L L Alievskaia, A V Krinskaia"
632,71COH/WOL,4944312.0,10.1016/S0021-9258(19)45813-4,,['eng'],246,24,7566-8,The Journal of biological chemistry,-,Dec 1971,"R M Cohen, R Wolfenden"
633,71GLO/POT,,10.1111/j.1471-4159.1971.tb11987.x,,-,-,-,-,-,-,-,-
634,71HAY/GRE,4328843.0,10.1016/S0021-9258(18)61884-8,,['eng'],246,18,5840-3,The Journal of biological chemistry,-,Sep 1971,"O Hayaishi, P Greengard, S P Colowick"
635,71HOR/HUS,5148773.0,,,['ger'],27,5,821-37,Acta biologica et medica Germanica,-,  1971,"A Horn, R Husung, M Schröder, H Börnig"
636,71JEN/SCH,,10.1021/ja00745a017,,-,-,-,-,-,-,-,-
637,71JOS/WAK,4934182.0,10.1016/0003-9861(71)90234-7,,['eng'],143,2,493-505,Archives of biochemistry and biophysics,-,Apr 1971,"V C Joshi, S J Wakil"
638,71KAT,4401291.0,10.1016/s0003-9861(71)80057-7,,['eng'],146,1,202-14,Archives of biochemistry and biophysics,-,Sep 1971,S Kato
639,71KUN/STA,5574401.0,10.1016/S0021-9258(18)62235-5,,['eng'],246,10,3378-88,The Journal of biological chemistry,-,May 1971,"H F Kung, T C Stadtman"
640,71MCC/CHA,5129727.0,10.1016/S0021-9258(19)45873-0,,['eng'],246,23,7207-13,The Journal of biological chemistry,-,Dec 1971,"J L McCullough, B A Chabner, J R Bertino"
641,71NOJ/TAN,,10.1093/oxfordjournals.jbchem.a129527,,-,-,-,-,-,-,-,-
642,71RAJ/LUM,,10.1021/j100680a006,,-,-,-,-,-,-,-,-
643,71ROB,5570433.0,10.1016/S0021-9258(18)61962-3,,['eng'],246,16,4995-5002,The Journal of biological chemistry,-,Aug 1971,R M Roberts
644,71RUD/JOH,4322715.0,10.1016/S0021-9258(19)76969-5,,['eng'],246,5,1271-3,The Journal of biological chemistry,-,Mar 1971,"S A Rudolph, E M Johnson, P Greengard"
645,71SHI/SUG,5552394.0,10.1111/j.1432-1033.1971.tb01312.x,,['eng'],19,2,256-63,European journal of biochemistry,-,Mar 1971,"H Shimono, Y Sugino"
646,71TAK/KUR,4106365.0,10.1016/S0021-9258(18)61885-X,,['eng'],246,18,5843-5,The Journal of biological chemistry,-,Sep 1971,"K Takai, Y Kurashina, C Suzuki, H Okamoto, A Ueki"
647,71TAN/JOH,4945184.0,10.1128/jb.108.3.1107-1111.1971,,['eng'],108,3,1107-11,Journal of bacteriology,"Preparations of pyruvate formate-lyase were made from Escherichia coli cells. Net reversal of the ""phosphoroclastic split"" of pyruvate was readily demonstrated with these preparations. Incubation of acetyl phosphate with formate resulted in the accumulation of pyruvate in concentrations up to 0.5 mm. Catalytic amounts of coenzyme A were essential. Pyruvate was also readily formed from acetyl coenzyme A and formate. The equilibrium constant of the reaction (pyruvate(-) + HPO(4) (2-) --> acetyl phosphate(2-) + formate(-)) has been determined to be about 23 at 37 C.",Dec 1971,"N Tanaka, M J Johnson"
648,71UNK/GOL,5573236.0,10.1016/S0021-9258(18)62300-2,,['eng'],246,8,2354-9,The Journal of biological chemistry,-,Apr 1971,"J C Unkeless, P Goldman"
649,71WIL/ROC,5580657.0,10.1021/bi00784a017,,['eng'],10,8,1384-90,Biochemistry,-,Apr 1971,"J O Williams, T E Roche, B A McFadden"
650,71WOH,4398630.0,10.1111/j.1432-1033.1971.tb01503.x,,['eng'],21,4,575-81,European journal of biochemistry,-,Aug 1971,-
651,72BAK/JEN,4344229.0,10.1016/S0021-9258(19)44584-5,,['eng'],247,23,7724-34,The Journal of biological chemistry,-,Dec 1972,"J J Baker, I Jeng, H A Barker"
652,72CAG/FRI,4337852.0,10.1016/S0021-9258(19)45152-1,,['eng'],247,11,3382-92,The Journal of biological chemistry,-,Jun 1972,"L M Cagen, H C Friedmann"
653,72COO/MEI,5059882.0,10.1021/bi00755a001,,['eng'],11,5,661-71,Biochemistry,-,Feb 1972,"J L Cooper, A Meister"
654,72DAH/AND,5016652.0,10.1016/S0021-9258(19)45519-1,,['eng'],247,7,2238-41,The Journal of biological chemistry,-,Apr 1972,"A S Dahms, R L Anderson"
655,72DEL,4624446.0,10.1016/S0021-9258(19)45108-9,,['eng'],247,12,3822-8,The Journal of biological chemistry,-,Jun 1972,D P Delmer
656,72DUF/NEL,5019592.0,10.1111/j.1471-4159.1972.tb01417.x,,['eng'],19,4,959-77,Journal of neurochemistry,-,Apr 1972,"T E Duffy, S R Nelson, O H Lowry"
657,72FOR/GAU,4335290.0,10.1021/bi00756a026,,['eng'],11,6,1108-14,Biochemistry,-,Mar 1972,"P I Forrester, G M Gaucher"
658,72GUS/GAN,5012314.0,10.1016/S0021-9258(19)45571-3,,['eng'],247,5,1387-97,The Journal of biological chemistry,-,Mar 1972,"G L Gustafson, J E Gander"
659,72KHA/ZHE,4660956.0,,,['eng'],6,5,547-52,Molecular biology,-,  1972,"M I Khabarova, S M Zhenodarova"
660,72KOR/HUR,,10.1016/0005-2744(72)90965-5,,-,-,-,-,-,-,-,-
661,72LEH/TAN,,10.1016/0076-6879(72)28075-2,,-,-,-,-,-,-,-,-
662,72MAR/BEL,4623846.0,10.1016/S0021-9258(19)45234-4,,['eng'],247,10,3223-8,The Journal of biological chemistry,-,May 1972,"L R Maréchal, E Belocopitow"
663,72NAG/JAE,4403556.0,10.1515/bchm2.1972.353.1.773,,['ger'],353,5,773-81,Hoppe-Seyler's Zeitschrift fur physiologische Chemie,-,May 1972,"M Nagelschmidt, L Jaenicke"
664,72NEL/KIE,5082943.0,10.1016/0003-2697(72)90451-4,,['eng'],49,2,474-8,Analytical biochemistry,-,Oct 1972,"D P Nelson, L A Kiesow"
665,72ROS/SLA,,10.1016/0005-2728(72)90116-8,,-,-,-,-,-,-,-,-
666,72STU,5061975.0,10.1016/S0021-9258(19)45701-3,,['eng'],247,3,968-9,The Journal of biological chemistry,-,Feb 1972,J M Sturtevant
667,72TAK/ONO,,10.1093/oxfordjournals.jbchem.a129946,,-,-,-,-,-,-,-,-
668,72WOL,,10.1101/SQB.1973.037.01.076,,-,-,-,-,-,-,-,-
669,72WUR/HES,,10.1016/0014-5793(72)80311-9,,-,-,-,-,-,-,-,-
670,73BEE/STE,,,,-,-,-,-,-,-,-,-
671,73DEW/LOW,4697392.0,10.1016/S0021-9258(19)44082-9,,['eng'],248,8,2829-35,The Journal of biological chemistry,-,Apr 1973,"P De Weer, A G Lowe"
672,73GUY/GEL,4743509.0,10.1016/S0021-9258(19)43346-2,,['eng'],248,20,6957-65,The Journal of biological chemistry,-,Oct 1973,"R W Guynn, H J Gelberg, R L Veech"
673,73GUY/VEE,4355193.0,10.1016/S0021-9258(19)43347-4,,['eng'],248,20,6966-72,The Journal of biological chemistry,-,Oct 1973,"R W Guynn, R L Veech"
674,73HAN/RUD,4270771.0,10.1016/S0021-9258(19)43267-5,,['eng'],248,22,7852-9,The Journal of biological chemistry,-,Nov 1973,"R L Hanson, F B Rudolph, H A Lardy"
675,73HAV/PIT,,10.1007/978-1-4615-8897-9_45,,-,-,-,-,-,-,-,-
676,73HER,4745770.0,10.1016/S0021-9258(19)43289-4,,['eng'],248,21,7295-303,The Journal of biological chemistry,-,Nov 1973,L B Hersh
677,73LAN,,10.1007/978-1-4684-6985-1_70,,-,-,-,-,-,-,-,-
678,73MCC/KOL,,10.1139/o73-069,,-,-,-,-,-,-,-,-
679,73RAD/HOC,,10.1016/0005-2744(73)90065-X,,-,-,-,-,-,-,-,-
680,73ROT/KIS,4201495.0,10.1016/S0021-9258(19)43266-3,,['eng'],248,22,7845-51,The Journal of biological chemistry,-,Nov 1973,"S W Rothman, R L Kisliuk, N Langerman"
681,73SHE/GUL,,,,-,-,-,-,-,-,-,-
682,73SOM/COS,4711468.0,10.1021/bi00738a008,,['eng'],12,14,2597-604,Biochemistry,-,Jul 1973,"R Somack, R N Costilow"
683,73STU/GER,,10.1021/ja00805a036,,-,-,-,-,-,-,-,-
684,73SUG,4719122.0,10.1021/bi00739a014,,['eng'],12,15,2862-8,Biochemistry,-,Jul 1973,T Sugiyama
685,73SUZ/IWA,,10.1093/oxfordjournals.pcp.a074864,,-,-,-,-,-,-,-,-
686,73VEL/GUY,4718747.0,10.1016/S0021-9258(19)43738-1,,['eng'],248,13,4811-9,The Journal of biological chemistry,-,Jul 1973,"D Veloso, R W Guynn, M Oskarsson, R L Veech"
687,73VID/UDE,,10.1016/0005-2744(73)90337-9,,-,-,-,-,-,-,-,-
688,73WUR/HES,4279207.0,10.1515/bchm2.1973.354.1.407,,['eng'],354,4,407-20,Hoppe-Seyler's Zeitschrift fur physiologische Chemie,-,Apr 1973,"B Wurster, B Hess"
689,74BEL/MAR,4212162.0,10.1111/j.1432-1033.1974.tb03659.x,,['eng'],46,3,631-7,European journal of biochemistry,-,Aug 1974,"E Belocopitow, L R Maréchal"
690,74BOS/YAM,4826883.0,10.1021/bi00707a008,,['eng'],13,10,2051-6,Biochemistry,-,May 1974,"R Bose, E W Yamada"
691,74BUR,4156827.0,10.1042/bj1430365,,['eng'],143,2,365-8,The Biochemical journal,The heat of the reaction NAD(+)+propan-2-ol=NADH+acetone+H(+) was determined to be 42.5+/-0.6kJ/mol (10.17+/-0.15kcal/mol) from equilibrium measurements at 9-42 degrees C catalysed by yeast alcohol dehydrogenase. With the aid of thermochemical data for acetone and propan-2-ol the values of DeltaH=-29.2kJ/mol (-6.99kcal/mol) and DeltaG(0)=22.1kJ/mol (5.28kcal/mol) are derived for the reduction of NAD (NAD(+)+H(2)=NADH+H(+)). These values are consistent with analogous but less accurate data for the ethanol-acetaldehyde reaction. Thermodynamic data for the reduction of NAD and NADP are summarized.,Nov 1974,K Burton
692,74CHE/PAT,,10.1016/0020-711X(74)90096-2,,-,-,-,-,-,-,-,-
693,74CLA/BIR,4854821.0,10.1042/bj1390491,,['eng'],139,3,491-7,The Biochemical journal,"The equilibrium constant of the phosphoglyceromutase reaction was determined over a range of pH (5.4-7.9), in solutions of different ionic strength (0.06-0.3) and in the presence of Mg(2+), at 30 degrees C and at 20 degrees C. The values obtained (8.65-11.65) differ substantially from previously published values. The third acid dissociation constants were redetermined for 2- and 3-phosphoglycerate, and in contrast with previous reports the pK values (7.03 and 6.97 respectively at zero ionic strength) were closely similar. The Mg(2+)-binding constants were measured spectrophotometrically and the values, 286mm(-1) and 255mm(-1) for 2- and 3-phosphoglycerate at pH7 and ionic strength 0.02, were also very similar. From the relative lack of effect of temperature, pH and ionic strength it is concluded that the equilibrium constant differs from unity largely because of entropic factors. At low ionic strength, in the neutral region, the pH-dependence can be attributed to the small difference in the acid dissociation constants, but the difference in dissociation constants does not explain the pH-dependence in the acid region or at high ionic strength. Within physiological ranges of pH, Mg(2+) concentration and ionic strength there will be little variation in equilibrium constant.",Jun 1974,"J B Clarke, M Birch, H G Britton"
694,74DAN/CAR,4548670.0,10.1111/j.1432-1033.1974.tb03763.x,,['eng'],48,1,255-62,European journal of biochemistry,-,Oct 1974,"C Danzin, R Cardinaud"
695,74FER/STR,4219834.0,10.1042/bj1440477,,['eng'],144,3,477-86,The Biochemical journal,"3-Hexulose phosphate synthase and phospho-3-hexuloisomerase were purified 40- and 150-fold respectively from methane-grown Methylococcus capsulatus. The molecular weights of the enzymes were approximately 310000 and 67000 respectively, as determined by gel filtration. Dissociation of 3-hexulose phosphate synthase into subunits of molecular weight approx. 49000 under conditions of low pH or low ionic strength was observed. Within the range of compounds tested, 3-hexulose phosphate synthase is specific for formaldehyde and d-ribulose 5-phosphate (forward reaction) and d-arabino-3-hexulose 6-phosphate (reverse reaction), and phospho-3-hexuloisomerase is specific for d-arabino-3-hexulose 6-phosphate (forward reaction) and d-fructose 6-phosphate (reverse reaction). A bivalent cation is essential for activity and stability of 3-hexulose phosphate synthase; phospho-3-hexuloisomerase is inhibited by many bivalent cations. The pH optima of the two enzymes are 7.0 and 8.3 respectively and the equilibrium constants are 4.0x10(-5)m and 1.9x10(2)m respectively. The apparent Michaelis constants for 3-hexulose phosphate synthase are: d-ribulose 5-phosphate, 8.3x10(-5)m; formaldehyde, 4.9x10(-4)m; d-arabino-3-hexulose 6-phosphate, 7.5x10(-5)m. The apparent Michaelis constants for phospho-3-hexuloisomerase are: d-arabino-3-hexulose 6-phosphate, 1.0x10(-4)m; d-fructose 6-phosphate, 1.1x10(-3)m.",Dec 1974,"T Ferenci, T Strom, J R Quayle"
696,74FLO/FLE,,10.1016/S0021-9258(19)42596-9,,-,-,-,-,-,-,-,-
697,74FRA/LEE,,,,-,-,-,-,-,-,-,-
698,74GAU/MAI,4150793.0,10.1016/S0021-9258(19)42739-7,,['eng'],249,8,2366-72,The Journal of biological chemistry,-,Apr 1974,"M A Gaunt, U S Maitra, H Ankel"
699,74GUY/VEL,4374936.0,10.1042/bj1400369,,['eng'],140,3,369-75,The Biochemical journal,"The concentration of cytoplasmic free pyrophosphate was calculated in freeze-clamped livers of rats from the measured concentration of reactants and K(eq.) of the UDP-glucose pyrophosphorylase reaction (UDP-alpha-d-glucose 1-phosphate uridylyltransferase, EC 2.7.7.9). The K(eq.) of the UDP-glucose pyrophosphorylase reaction was redetermined at 38 degrees C, pH7.0, I=0.25mol/l and free [Mg(2+)]=1mm, and was 4.55 in the direction of glucose 1-phosphate formation. The activity of UDP-glucose pyrophosphorylase in rat liver was between 46 and 58mumol of glucose 1-phosphate formed/min per g fresh wt. in the four dietary conditions studied. A fluorimetric assay with enzymic cycling was developed for the measurement of glucose 1-phosphate in HClO(4) extracts of rat liver. The calculated free cytoplasmic PP(i) concentration in nmol/g fresh wt. of liver was 2.3+/-0.3 in starved, 3.8+/-0.4 in fed, 4.9+/-0.6 in meal-fed and 5.2+/-0.4 in sucrose-re-fed animals. These values agree well with recently determined direct measurements of total PP(i) in rat liver and suggest that there is not a large amount of bound or metabolically inert PP(i) in rat liver. The cytoplasmic [ATP]/[AMP][PP(i)] ratio is 10(3) times the cytoplasmic [ATP]/[ADP][P(i)] ratio and varies differently with dietary state. The reaction PP(i)+H(2)O-->2P(i) catalysed by inorganic pyrophosphatase (EC 3.6.1.1) does not attain near-equilibrium in vivo. PP(i) should be considered as one of the group of small inorganic ions which is metabolically active and capable of exerting a controlling function in a number of important metabolic reactions.",Jun 1974,"R W Guynn, D Veloso, J W Lawson, R L Veech"
700,74GUY/WEB,4275341.0,10.1016/S0021-9258(19)42664-1,,['eng'],249,10,3248-54,The Journal of biological chemistry,-,May 1974,"R W Guynn, L T Webster, R L Veech"
