,reference_code,pmid,doi,comment,Title,Date,Publisher,License,Type,Volume,Issue,Page,Authors,Language
278,57VLA/VLA,13499474.0,,,-,-,-,-,-,-,-,-,-,-
279,57VLA/VLA2,13451618.0,10.1038/1791350a0,,['The Free Energy of Hydrolysis of Adenosine Triphosphoric Acid'],30.5.2006,Springer Science and Business Media LLC,http://www.springer.com/tdm,journal-article,179,4574,1350-1351,"G. E. VLADIMIROV, V. G. VLASSOVA, A. Y. KOLOTILOVA, S. N. LYZLOVA, N. S. PANTELEYEVA",en
280,57WOL/BAL,,10.1016/S0021-9258(18)70816-8,,['STUDIES ON THE ENZYME ENOLASE'],5.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,227,1,301-312,"Finn Wold, Clinton E. Ballou",en
281,58BAC,,10.3891/acta.chem.scand.12-1279,,-,-,-,-,-,-,-,-,-,-
282,58BRU/NOL,13596391.0,,,-,-,-,-,-,-,-,-,-,-
283,58BUR/HOR,13539036.0,10.1016/S0021-9258(18)70466-3,,['PENTOSE FERMENTATION BY LACTOBACILLUS PLANTARUM'],5.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,231,2,1053-1064,"D.P. Burma, B.L. Horecker",en
284,58CAB/LEL,13538966.0,10.1016/S0021-9258(19)77303-7,,['THE BIOSYNTHESIS OF TREHALOSE PHOSPHATE'],7.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,231,1,259-275,"E. Cabib, Luis F. Leloir",en
285,58FRO,,10.1016/0006-3002(58)90182-3,,['On the equilibrium and mechanism of adenylosuccinic acid synthesis'],10.2.2003,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,29,2,255-262,Herbert J. Fromm,en
286,58FRO2,13598730.0,10.1016/S0021-9258(19)77337-2,,['Ribitol Dehydrogenase'],7.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,233,5,1049-1052,Herbert J. Fromm,en
287,58HEA/HOR,13539034.0,10.1016/S0021-9258(18)70464-X,,['PENTOSE FERMENTATION BY LACTOBACILLUS PLANTARUM'],5.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,231,2,1031-1037,"E.C. Heath, B.L. Horecker, P.Z. Smyrniotis, Yasuyuki Takagi",en
288,58LAN/ENG,13575417.0,10.1016/S0021-9258(18)64708-8,,['Human Placental Estradiol-17β Dehydrogenase'],5.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,233,3,583-588,"Lorna J. Langer, Lewis L. Engel",en
289,58MAL/OCH,13610869.0,10.1016/S0021-9258(18)49368-4,,['Enzymatic Phosphorylation of Deoxycytidylic Acid'],5.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,233,6,1538-1543,"Frank Maley, Severo Ochoa",en
290,58MCQ,,,appears in part 2,-,-,-,-,-,-,-,-,-,-
291,58NOL/BRU,13596394.0,,,-,-,-,-,-,-,-,-,-,-
292,58ROB/LIP,13575437.0,10.1016/S0021-9258(18)64728-3,,['Enzymatic Synthesis of Adenosine-5′-Phosphosulfate'],5.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,233,3,686-690,"Phillips W. Robbins, Fritz Lipmann",en
293,58TAB/SRE,13534662.0,10.1016/0003-9861(58)90003-1,,"['The oxidative pentose phosphate cycle. III. The interconversion of ribose 5-phosphate, ribulose 5-phosphate and xylulose 5-phosphate']",25.11.2004,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,74,2,315-325,"M. Tabachnick, P.A. Srere, J. Cooper, E. Racker",en
294,58TUR/TUR,13560389.0,10.1042/bj0690448,,-,-,-,-,-,-,-,-,-,-
295,58WIL/BAN,13587526.0,10.1016/S0021-9258(18)64689-7,,"['Enzymatic Reactions Involving Sulfate, Sulfite, Selenate, and Molybdate']",5.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,233,4,975-981,"Lloyd G. Wilson, Robert S. Bandurski",en
296,58WOL/SIM,13549442.0,10.1016/S0021-9258(18)70419-5,,['DEGRADATION OF l-ARABINOSE BY AEROBACTER AEROGENES'],5.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,232,1,559-575,"M.J. Wolin, F.J. Simpson, W.A. Wood",en
297,58YOU/PAC,13534693.0,10.1016/0003-9861(58)90403-x,,['Some physical and chemical properties of crystalline α-glycerophosphate dehydrogenase'],7.12.2004,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,75,1,125-141,"Ho Lee Young, Nello Pace",en
298,59ALE,,,,-,-,-,-,-,-,-,-,-,-
299,59ATK/JOH,,10.1038/1841925a0,,['Equilibrium Constant of the Galactokinase Reaction and Free Energy of Hydrolysis of Adenosine Triphosphate'],30.5.2006,Springer Science and Business Media LLC,http://www.springer.com/tdm,journal-article,184,4703,1925-1927,"M. R. ATKINSON, ELEANOR JCHNSON, R. K. MORTON",en
300,59BAR/SMY,13630903.0,10.1016/S0021-9258(18)70297-4,,['The Purification and Properties of β-Methylaspartase'],5.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,234,2,320-328,"H.A. Barker, R.D. Smyth, R. Marilyn Wilson, H. Weissbach",en
301,59BEN/KIT,13628584.0,10.1042/bj0710400,,-,-,-,-,-,-,-,-,-,-
302,59BON/PON,,10.1016/0006-291X(59)90066-X,,['The formation and cleavage of fructose catalyzed by transaldolase'],3.11.2004,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,1,2,79-82,"A. Bonsignore, S. Pontremoli, E. Grazi, M. Mangiarotti",en
303,59CAL/WEB,13806976.0,10.1042/bj0730473,,-,-,-,-,-,-,-,-,-,-
304,59CHI/SUG,,10.1080/03758397.1959.10857560,,-,-,-,-,-,-,-,-,-,-
305,59DEL/DEF,,10.1016/0006-3002(59)90495-0,,['2-ketogluconreductase in micro-organisms'],10.2.2003,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,33,1,47-54,"J. De Ley, J. Defloor",en
306,59DEN/ROB,13672942.0,10.1016/S0021-9258(18)69904-1,,['Enzymatic Conversion of β-Hydroxypropionate to Malonic Semialdehyde'],5.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,234,7,1666-1671,"Halina Den, William G. Robinson, Minor J. Coon",en
307,59FRI,13825045.0,10.1016/S0021-9258(18)69689-9,,['Glutamic Dehydrogenase'],5.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,234,11,2891-2896,Carl Frieden,en
308,59GOL,,10.1016/0006-3002(59)90555-4,,-,-,-,-,-,-,-,-,-,-
309,59HAB/CAN,13641268.0,10.1016/S0021-9258(18)70253-6,,['The Enzymatic Synthesis of S-Adenosyl-l-homocysteine from Adenosine and Homocysteine'],5.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,234,3,603-608,"G. de la Haba, G.L. Cantoni",en
310,59HOL,14402710.0,10.1515/bchm2.1959.317.1.193,,-,-,-,-,-,-,-,-,-,-
311,59ITO/GRI,13630886.0,10.1016/S0021-9258(18)70280-9,,"['Phosphoglyceric Acid Mutase Activity without Added 2,3-Diphosphoglycerate in Preparations Purified from Wheat Germ']",5.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,234,2,242-245,"N. Ito, Santiago Grisolia",en
312,59KIR/TUR,14409347.0,10.1042/bj0720716,,-,-,-,-,-,-,-,-,-,-
313,59KIT/HEM,13628583.0,10.1042/bj0710395,,-,-,-,-,-,-,-,-,-,-
314,59KRI,13630884.0,10.1016/S0021-9258(18)70278-0,,['Phosphorylation of Pyruvate by the Pyruvate Kinase Reaction and Reversal of Glycolysis in a Reconstructed System'],5.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,234,2,232-236,I. Krimsky,en
315,59MCC/NAJ,,10.1016/S0021-9258(18)69716-9,,['The Purification and Mechanism of Action of Yeast Phosphoglucomutase'],5.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,234,11,3017-3021,"Ernest E. McCoy, Victor A. Najjar",en
316,59MCQ/UTT,13673030.0,10.1016/S0021-9258(18)69883-7,,['Equilibrium and Kinetic Studies of the Pyruvic Kinase Reaction'],5.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,234,8,2151-2157,"John T. McQuate, Merton F. Utter",en
317,59MER/TOM,,10.1016/S0021-9258(18)69780-7,,['Reversible Oxidation of Cyclic Secondary Alcohols by Liver Alcohol Dehydrogenase'],5.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,234,10,2778-2782,"A. Donald Merritt, Gordon M. Tomkins",en
318,59MIL/LUK,13672968.0,10.1016/S0021-9258(18)69930-2,,['Biosynthesis of the Purines'],5.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,234,7,1806-1811,"Richard W. Miller, Lewis N. Lukens, John M. Buchanan",en
319,59NOR/FRO,14427582.0,10.1016/S0021-9258(18)69732-7,,['Ribitol Dehydrogenase'],5.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,234,10,2523-2531,"Robert C. Nordlie, Herbert J. Fromm",en
320,59SAN/LAN,13610916.0,10.1016/S0021-9258(18)70359-1,,['α-Ketoglutaric Dehydrogenase'],5.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,234,1,178-182,"D.R. Sanadi, Martha Langley, Robert L. Searls",en
321,59SCO/JAK,13654294.0,10.1016/S0021-9258(18)70206-8,,['Soluble γ-Aminobutyric-Glutamic Transaminase from Pseudomonas fluorescens'],5.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,234,4,932-936,"Edward M. Scott, William B. Jakoby",en
322,59SHO/PRI,13664648.0,10.1128/jb.77.6.695-700.1959,,['<scp>d</scp>\n            -SORBITOL-6-PHOSPHATE DEHYDROGENASE FROM\n            <i>LACTOBACILLUS CASEI</i>'],3.1.2020,American Society for Microbiology,https://journals.asm.org/non-commercial-tdm-license,journal-article,77,6,695-700,"Thomas E. Shockley, Harold S. Pride",en
323,59STR/SMI,13672971.0,10.1016/S0021-9258(18)69933-8,,['Uridine Diphosphoacetylglucosamine Pyrophosphorylase'],5.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,234,7,1822-1827,"Jack L. Strominger, Mildred S. Smith",en
324,59TAB/WYN,13672973.0,10.1016/S0021-9258(18)69935-1,,"['The Enzymatic Formation of Formiminotetrahydrofolic Acid, 5,10-Methenyltetrahydrofolic Acid, and 10-Formyltetrahydrofolic Acid in the Metabolism of Formiminoglutamic Acid']",5.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,234,7,1830-1846,"Herbert Tabor, Lillian Wyngarden",en
325,59TAL/LEV,,,,-,-,-,-,-,-,-,-,-,-
326,59VAG/EAR,13641247.0,10.1016/S0021-9258(18)70232-9,,['Propionic Acid Metabolism'],5.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,234,3,490-497,"P. Roy Vagelos, Joan M. Earl, E.R. Stadtman",en
327,60AGO/ARA,13681649.0,,,-,-,-,-,-,-,-,-,-,-
328,60ASH/WAH,13794771.0,10.1016/S0021-9258(19)76840-9,,['Uronic Acid Metabolism in Bacteria'],6.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,235,6,1559-1565,"Gilbert Ashwell, Albert J. Wahba, Jean Hickman",en
329,60BLA,13801272.0,10.1042/bj0740071,,-,-,-,-,-,-,-,-,-,-
330,60COM/ROS,13811398.0,10.1016/S0021-9258(19)76908-7,,['The Sialic Acids'],6.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,235,9,2529-2537,"Donald G. Comb, Saul Roseman",en
331,60FEI/NEU,13821949.0,10.1016/S0021-9258(18)69449-9,,['The 4-Epimerization and Decarboxylation of Uridine Diphosphate d-Glucuronic Acid by Extracts from Phaseolus aureus Seedlings'],5.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,235,4,910-913,"David S. Feingold, Elizabeth F. Neufeld, W.Z. Hassid",en
332,60GEL/STU,,10.1021/ja01491a053,,-,-,-,-,-,-,-,-,-,-
333,60GUP/ROB,13830319.0,10.1016/S0021-9258(19)76849-5,,['The Enzymatic Conversion of Lactaldehyde to Propanediol'],6.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,235,6,1609-1612,"Naba K. Gupta, William G. Robinson",en
334,60ICH/FUR,,10.1093/oxfordjournals.jbchem.a127169,,-,-,-,-,-,-,-,-,-,-
335,60ISH,,,,-,-,-,-,-,-,-,-,-,-
336,60JON/LIP,16590733.0,10.1073/pnas.46.9.1194,,-,-,-,-,-,-,-,-,-,-
337,60KAH/LOW,14408402.0,10.1016/S0021-9258(18)64594-6,,['The Kinetics of Phosphoglucoisomerase'],5.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,235,8,2178-2184,"Shirley E. Kahana, Oliver H. Lowry, Demoy W. Schulz, Janet V. Passonneau, Elizabeth J. Crawford",en
338,60KAY/OSB,14404999.0,10.1016/S0021-9258(18)69609-7,,['The Enzymatic Conversion of N5-Formyl Tetrahydrofolic Acid (Folinic Acid) to N10-Formyl Tetrahydrofolic Acid'],5.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,235,1,195-201,"L.D. Kay, M.J. Osborn, Y. Hatefi, F.M. Huennekens",en
339,60KUR/SUG,14412847.0,10.1016/S0021-9258(18)69456-6,,['Purification and Properties of Galactose 1-Phosphate Uridyl Transferase from Escherichia coli'],5.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,235,4,940-946,"K. Kurahashi, Akie Sugimura",en
340,60LEA/GLA,13759914.0,10.1016/S0021-9258(20)81338-6,,['Incorporation of Amino Acids into Ribonucleic Acid'],7.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,235,11,3209-3212,"John Leahy, Edward Glassman, Richard S. Schweet",en
341,60MAX/ROB,,10.1016/S0021-9258(18)69520-1,,"['Purification of Uridine Diphosphate Galactose-4-epimerase from Yeast, and the Identification of Protein-bound Diphosphopyridine Nucleotide']",5.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,235,2,308-312,"Elizabeth S. Maxwell, Huguette de Robichon-Szulmajster",en
342,60MEN,13769376.0,10.1016/S0021-9258(18)64469-2,,['Sucrose Phosphate Synthesis in Wheat Germ and Green Leaves'],5.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,235,12,3347-3352,Joseph Mendicino,en
343,60NIR/JAK,14427301.0,10.1016/S0021-9258(18)69459-1,,['Enzymatic Utilization of γ-Hydroxybutyric Acid'],5.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,235,4,954-960,"Marshall W. Nirenberg, William B. Jakoby",en
344,60OCO/HAL,13730045.0,10.1016/0003-9861(60)90503-8,,['Intermediate metabolism of aerobic spores. V. The purification and properties of l-alanine dehydrogenase'],25.11.2004,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,91,2,290-299,"R.J. O'Connor, H.O. Halvorson",en
345,60PIE/WIA,,10.1016/0006-3002(60)90506-0,,['Propriétés de la l(+)-alanine-déshydrogénase'],10.2.2003,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,37,3,490-502,"A. Piérard, J.M. Wiame",fr
346,60PRI/HOR,14434864.0,10.1016/S0021-9258(18)69401-3,,['Deoxyribose Aldolase from Lactobacillus plantarum'],5.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,235,5,1292-1298,"W.E. Pricer, B.L. Horecker",en
347,60SCH/RAT,13748745.0,10.1016/S0021-9258(18)64515-6,,['Free Energy Changes of the Argininosuccinate Synthetase Reaction and of the Hydrolysis of the Inner Pyrophosphate Bond of Adenosine Triphosphate'],5.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,235,12,3597-3602,"Auguste Schuegraf, S. Ratner, Robert C. Warner",en
348,60VOL,,10.1016/S0021-9258(19)76838-0,,['Purification and Properties of Phosphoarabinoisomerase from Propionibacterium pentosaceum'],6.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,235,6,1550-1553,Wesley A. Volk,en
349,61ALE,13682344.0,10.1128/jb.81.6.903-910.1961,,['CHARACTERISTICS OF CELLOBIOSE PHOSPHORYLASE'],3.1.2020,American Society for Microbiology,https://journals.asm.org/non-commercial-tdm-license,journal-article,81,6,903-910,James K. Alexander,en
350,61ATK/BUR,13684980.0,10.1042/bj0780813,,-,-,-,-,-,-,-,-,-,-
351,61ATK/JOH,13684982.0,10.1042/bj0790012,,-,-,-,-,-,-,-,-,-,-
352,61BEN/SCH,,10.1016/S0021-9258(18)64053-0,,['A Phosphoglucomutase Specific for β-Glucose 1-Phosphate'],5.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,236,8,2186-2189,"Ruth Ben-Zvi, Michael Schramm",en
353,61BER/BER,,10.1016/S0021-9258(19)63293-X,,['The Enzymic Synthesis of Amino Acyl Derivatives of Ribonucleic Acid'],6.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,236,6,1726-1734,"Paul Berg, Fred H. Bergmann, E.J. Ofengand, M. Dieckmann",en
354,61CAN,,,,-,-,-,-,-,-,-,-,-,-
355,61DAT/RAC,13719876.0,10.1016/S0021-9258(18)64277-2,,['Mechanism of Action of Transketolase'],5.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,236,3,617-623,"Asoke G. Datta, Efraim Racker",en
356,61DOU,,,,-,-,-,-,-,-,-,-,-,-
357,61DOU/MER,,,,-,-,-,-,-,-,-,-,-,-
358,61GAW/GLA,13897360.0,10.1016/0003-9861(61)90136-9,,['Kinetics of the chymotrypsin-catalyzed condensation of N-benzoyl-l-tyrosine with glycylanilide'],10.12.2004,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,95,2,203-210,"Oscar Gawron, A.J. Glaid, R.E. Boyle, Gerald Odstrchel",en
359,61GOT/KOR,13900766.0,10.1042/bj0810273,,-,-,-,-,-,-,-,-,-,-
360,61KLE,,,,-,-,-,-,-,-,-,-,-,-
361,61KOR/GLA,13753209.0,10.1016/S0021-9258(19)63304-1,,['The Enzymatic Synthesis of Thymidine-linked Sugars'],6.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,236,6,1791-1794,"Stuart Kornfeld, Luis Glaser",en
362,61KRA/VEN,13753903.0,10.1016/S0021-9258(18)64442-4,,['The Equilibrium Constant of the Dihydroorotic Dehydrogenase Reaction'],5.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,236,1,142-144,"Gladys Krakow, Birgit Vennesland",en
363,61LED,14463407.0,10.1016/S0021-9258(19)76430-8,,['The Enzymatic Synthesis of Thiamine Monophosphate'],6.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,236,11,3066-3071,Irwin G. Leder,en
364,61MAH,,,,-,-,-,-,-,-,-,-,-,-
365,61PRA,,,,-,-,-,-,-,-,-,-,-,-
366,61RAC,,,,-,-,-,-,-,-,-,-,-,-
367,61RAC2,,,,-,-,-,-,-,-,-,-,-,-
368,61RAW/WAD,,10.1021/ja01476a003,,-,-,-,-,-,-,-,-,-,-
369,61SAN/ZIN,13746411.0,10.1016/0003-9861(61)90070-4,,['l-Leucine dehydrogenase of Bacillus cereus'],10.2.2005,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,94,3,430-435,"B.D. Sanwal, M.W. Zink",en
370,61VEN/RAC,13780711.0,10.1016/S0021-9258(18)64098-0,,['Mechanism of Action of Transaldolase'],5.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,236,7,1876-1882,"R. Venkataraman, Efraim Racker",en
371,61VLA/KOM,13781723.0,,,-,-,-,-,-,-,-,-,-,-
372,61WIL/WIL,13785328.0,10.1016/0003-9861(61)90318-6,,['Partial purification of bacterial aspartase by starch electrophoresis'],7.12.2004,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,93,1,80-84,"Jack S. Wilkinson, Virginia R. Williams",en
373,61WOO/STJ,13786500.0,10.1073/pnas.47.3.289,,-,-,-,-,-,-,-,-,-,-
374,61YAM,14008731.0,10.1016/S0021-9258(19)76425-4,,['The Phosphorolysis of Nucleosides by Rabbit Bone Marrow'],6.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,236,11,3043-3046,Esther W. Yamada,en
375,62AKA/CAM,16561978.0,10.1128/jb.84.6.1194-1201.1962,,['STUDIES ON THERMOPHILIC SULFATE-REDUCING BACTERIA III'],3.1.2020,American Society for Microbiology,https://journals.asm.org/non-commercial-tdm-license,journal-article,84,6,1194-1201,"J. M. Akagi, L. Leon Campbell",en
376,62BES,,10.1016/0076-6879(63)06160-7,,-,-,-,-,-,-,-,-,-,-
377,62BLA,,10.1016/S0076-6879(62)05320-3,,-,-,-,-,-,-,-,-,-,-
378,62BRU/JOU,13874013.0,10.1016/S0021-9258(19)73772-7,,['The Sialic Acids'],6.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,237,8,2447-2453,"Paolo Brunetti, George W. Jourdian, Saul Roseman",en
379,62CHA/VEI,13877918.0,10.1016/S0021-9258(18)60275-3,,['Pentose Metabolism in Candida'],5.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,237,4,1014-1020,"M. Chakravorty, L.A. Veiga, Metry Bacila, B.L. Horecker",en
380,62COM/ROS,,10.1016/S0076-6879(62)05246-5,appears in part 6,-,-,-,-,-,-,-,-,-,-
381,62DOU/SHU,,,,-,-,-,-,-,-,-,-,-,-
382,62DOU2,,10.1016/S0076-6879(62)05234-9,,-,-,-,-,-,-,-,-,-,-
383,62DUR/RAW,,10.1016/0006-3002(62)90607-8,,-,-,-,-,-,-,-,-,-,-
384,62ESP,,10.1016/S0021-9258(19)84491-5,,['Enzymic Synthesis of Adenosine Diphosphate Glucose from Glucose 1-Phosphate and Adenosine Triphosphate'],7.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,237,12,3577-3581,Joaquin Espada,en
385,62GHA/HEA,13898172.0,10.1016/S0021-9258(19)73768-5,,['The Metabolism of l-Fucose'],6.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,237,8,2427-2433,"Mohammad Ali Ghalambor, Edward C. Heath",en
386,62GOL/WAG,,10.1016/0006-3002(62)91048-X,,['Enzyme systems in the mycobacteria XIII. Glycine dehydrogenase and the glyoxylic acid cycle'],4.4.2003,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,65,2,297-306,"Dexter S. Goldman, Marion J. Wagner",en
387,62GRI,,10.1016/S0076-6879(62)05210-6,,-,-,-,-,-,-,-,-,-,-
388,62HAL/FEN,13903809.0,10.1016/S0021-9258(19)63410-1,,['Some Enzymic Properties of Mitochondrial Propionyl Carboxylase'],6.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,237,7,2140-2147,"Donald R. Halenz, Jan-Yung Feng, Carman S. Hegre, M. Daniel Lane",en
389,62HAY/NIS,,10.1016/S0076-6879(62)05297-0,,-,-,-,-,-,-,-,-,-,-
390,62HIM/RAB,13907490.0,10.1016/S0021-9258(18)60249-2,,['Formyltetrahydrofolate Synthetase'],5.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,237,9,2903-2914,"Richard H. Himes, Jesse C. Rabinowitz",en
391,62HOR,,10.1016/S0076-6879(62)05212-X,,-,-,-,-,-,-,-,-,-,-
392,62JAK,,10.1016/S0076-6879(62)05311-2,,-,-,-,-,-,-,-,-,-,-
393,62KRE/MEL,14459507.0,10.1042/bj0820096,,-,-,-,-,-,-,-,-,-,-
394,62MEN,14472566.0,10.1016/S0021-9258(18)81380-1,,['Phosphorylation of Cytidine Monophosphate in Animal Tissues'],6.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,237,1,165-169,Joseph Mendicino,en
395,62PET,,10.1016/S0076-6879(62)05327-6,,-,-,-,-,-,-,-,-,-,-
396,62RAB,,,should this be 62RAZ? appears in part 2,-,-,-,-,-,-,-,-,-,-
397,62RAT,,10.1016/S0076-6879(62)05324-0,should this be 62RAB? appears in part 2,-,-,-,-,-,-,-,-,-,-
398,62RAV/WOL,14490617.0,10.1021/bi00908a012,,-,-,-,-,-,-,-,-,-,-
399,62RAV/WOL2,,10.1021/bi00912a023,,-,-,-,-,-,-,-,-,-,-
400,62SEG/BEA,,10.1016/S0021-9258(19)73958-1,,['Purification and Properties of Liver Glutamic-Alanine Transaminase from Normal and Corticoid-treated Rats'],6.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,237,6,1914-1920,"H.L. Segal, Diana S. Beattie, Sarah Hopper",en
401,62SHU/DOU,13912428.0,10.1016/S0021-9258(18)93969-4,,['A Cold-sensitive d(-)β-Hydroxybutyric Acid Dehydrogenase from Rhodospirillum rubrum'],6.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,237,2,603-607,"C.W. Shuster, Michael Doudoroff",en
402,62SIL,,10.1016/S0076-6879(62)05314-8,,-,-,-,-,-,-,-,-,-,-
403,62TAB,,10.1016/S0076-6879(62)05313-6,appears in part 2,-,-,-,-,-,-,-,-,-,-
404,62UEH,,10.1016/S0076-6879(62)05238-6,,-,-,-,-,-,-,-,-,-,-
405,62WIL/SNE,14001018.0,10.1016/S0021-9258(18)50139-3,,['Metabolism of α-Methylserine'],5.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,237,10,3171-3179,"Edith M. Wilson, Esmond E. Snell",en
406,63ALL/KEL,14012144.0,10.1016/S0021-9258(18)81114-0,,"['The Isolation, Purification, and Properties of Methylmalonyl Racemase']",6.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,238,5,1637-1642,"S.H.G. Allen, R. Kellermeyer, Rune Stjernholm, Birgit Jacobson, Harland G. Wood",en
407,63BEC/LEV,13970089.0,10.1016/S0021-9258(18)81322-9,,"['Purification, Kinetics, and Repression Control of Bacterial Trans-N-deoxyribosylase']",6.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,238,2,702-709,"William S. Beck, Myron Levin",en
408,63BER/HOL,14087284.0,,,-,-,-,-,-,-,-,-,-,-
409,63CHE/RAW,,10.1016/0006-3002(63)91239-3,,-,-,-,-,-,-,-,-,-,-
410,63DAY/WIL,,10.1016/0006-3002(63)90519-5,,-,-,-,-,-,-,-,-,-,-
411,63DEV/GOU,,10.1016/0926-6550(63)90451-1,,-,-,-,-,-,-,-,-,-,-
412,63DOB/DEM,,10.1016/0006-3002(63)90547-X,,-,-,-,-,-,-,-,-,-,-
